"Назва","Тип чаю","Регіон","Для новачків","Характер","Артикул","В меню","Дескриптори","Час доби","Посуд","Вага","Температура","Проливи","Злив","Коментар","Про чай"
"Хуан Шань Мао Фен 2025","Зелений","Аньхой","ні","Екстраверт","#Y4","так","Горіховий; Ягідний; Вершковий","Ранок–День","Гайвань","1г / 40мл","80–85°C","6","Швидкий","Зелений. Рекомендуємо для охолодження, освіжаючого ефекту, ясності і при цьому активній роботі. На вечір не бажано.","Huang Shan Mao Feng Ворсисті Леза(Піки-Вершини) Жовтих Гір, Збір до Ціньмін 2025 (до 5 квітня) - зелений Хуан Шань Маофен, провінція Аньхой . Материнським кущем вважається Хуань Шань Да Є Чжун - корінний місцевий різновид камелії з великим ворсистим листом і брунькою, адаптований саме під екстремальний клімат Жовтих Гір (перепади температури, кількість опадів). Ворсистий зелений чай. Фенг. Характерність - наповнений ворсом непрозорий чайний настій при заварюванні. Перші проливи можна починати з переливу води з термоса в чахай щоб дати декілька градусів менше при першому доторку (розкриття ароматики). Для виробництва використовую флеші - брунька та 2 листочки."
"Бай Хао Інь Чжень 2025","Білий","Фуцзянь","так","Екстраверт","#W7","так","Квітковий; Вершковий; Пряний","Будь-який","Гайвань; Чайник","1г / 30мл","90–100°C","5","Нормальний","Якщо запит на щось тонке, повітряне але водночас смачне і діюче — обираємо цей. Підходить для новачків — дуже складно перезаварити. Рекомендувати парочкам. Виключно бруньковий — найкорисніший (мікрогрін у світі чаю).","Бай Хао Інь Чжень збір перед Цін Мін (до 5 квітня) - білі ворсисті срібні голки. Материнський кущ Fudin Da Bai Cha - при його обробці утворюється ворс. Бруньки розкриваються повільніше, адже структура набагато щільніша ніж в відкритому листі, яка слугує певним захисним коконом для майбутнього листа, відповідно, екстрактивність (руйнування міжклітинних мембран) відбувається плавніше і потребує більше часу і вищої температури. Виключно бруньковий - тому найдорожчій і найкорисніший (брунькова сировина- мікрогрін в світі чаю)"
"Сі Ху Лун Цзін 2025","Зелений","Чжецзян","ні","Екстраверт","#G1","так","Горіховий; Квітковий; Солодкий","Ранок–День","Гайвань","1г / 40мл","85–90°C","8","Швидкий","Зелений. Рекомендуємо як топовий зелений в закладі, для охолодження, освіжаючого ефекту, ясності і при цьому активній роботі. На вечір дозовано.","Сі Ху Лун Цзін. Long Jing Qun Zhong материнський кущ . Легенда про 18 імператорських кущів Лун Цзін озеро Сі Ху . Тонкий і повнотілий чай, горіховий і маслянистий. Потребує небагато уваги але бажано не перетримувати. Ша Цін (вбивство зелені) можливо відбувалось на воках , промаслених насінням чайного дерева - сировина в сухому вигляді дуже масляниста. Витримує багато проливів, перші проливи можна починати з переливу води з термоса в чахай щоб дати декілька градусів менше при першому доторку (розкриття ароматики). Класика зеленого чаю. Для виробництва лунцзіна використовують лише верхівки пагонів із двома верхніми листками. Багатий на амінокислоти."
"Кімун Хун Ча","Червоний","Аньхой","ні","Інтроверт","#R12","так","Медовий; Вершковий; Ягідний","Вечір","Гайвань; Чайник","1г / 40мл","90–100°C","5","Нормальний","Зігріває. Якщо запит на медовий чай — сміливо рекомендуємо цей Кімун. Більше релаксовий настрій.","Keemun Hong Cha роблять із листя місцевого сорту Чжу Є Чжун (Zhu Ye Zhong) . Місцевість - Південь Аньхой, Повіт Цімень Інший вигляд листа культивару(форма листя бамбуку) + еталонна фуцзянська технологія = нова кімунська група (трикутник). Прослідковується медовість фуцзянських червоних як домінанта + кислинка?вершковість, здоба, ягідність та тропічність."
"Да Хун Пао","Улун","Фуцзянь","так","Інтроверт","#Wu3","так","Фруктовий; Тютюн; Карамельний","Будь-який","Гайвань","1г / 40мл","92–100°C","6","Нормальний","Класика. Розповідаємо більше про самі кущі, наголошуємо на особливостях нашого чаю. Трошки історії при потребі. Більше є в Глосарій.doc в закріплених в робочій группі","Сортовий Да Хун Пао - з генетичного двійника, материнського куща Ці Дань. Посередній ДХП це зазвичай мікс з підвидів смажених уішанців (ТЛХ, ШС, ЖГ). Як відрізнити - 2-3 проливу “вогню з табаком” заміщуються фруктами з кислинкою “уішанської мелодії” - солодка терпчинка, притаманна багатьом Дан Цунам."
"Хей Ча Тань Фу Байшасі 2019","Хейча","Хунань","ні","Інтроверт","#B3","так","Деревний; Фруктовий; Земляний","Вечір","Чайник; Гайвань","1г / 35мл","90–100°C","7","Нормальний","Не для новачків, але для тих, хто готовий до нового досвіду. Щось середнє між шу і шеном, але з власним унікальним профілем. Потужний стан, глибокий.","Bai Sha Xi - історична місцевість : Хей Ча , різниця від Шу. Чай не для новачків але для тих хто не очікує і готовий до нового досвіду в світі чаю. Щось песередне між шу і шеном але з тонкощами виробництва утворився окремий профіль, більше схожий на витримані шени. Чай для тих, хто хоче спробувати щось нове в контексті китайськиї чаїв. Стан потужний, глибокий."
"Уі Шань Жоу Гуй","Улун","Фуцзянь","ні","Інтроверт","#Wu1","так","Медовий; Пряний; Димний","Будь-який","Гайвань","1г / 40мл","92–100°C","5","Нормальний","Рекомендуємо як один з кращих в цій категорії, поціновувачам смажених улунів (уішанців, ДХП тощо) . Класифікуємо як глибокий і багатогранний чай. Концентрує та фокусує, для важливих справ або глибокої розумової діяльності, для уважного чаювання","Wuyi Rougui - Уі Жоу Гуй - живцевий культивар (маленькі пагінці від прадавніх кущів що культивувались для збільшення врожаю) кущів з Матоу Янь - скеля Кінської Голови . Профіль - генетична особливість сорту, яка проявляється завдяки специфічному ферментуванню та майстерному прогріву на вугіллі (Хун Пей). Плетені кошики над тліючим вогнем . Існує слабка/середня/сильна ступінь Хун Пей, де кількість вогню впливає на те наскільки сильно чай просмажився всередені та зовні. Міцний але водночас солодкий (мед) профіль. Живий вогонь: дає м'яке інфрачервоне випромінювання, яке прогріває лист зсередини дозовні, а не просто смажить поверхню."
"Тіє Гуань Інь","Улун","Фуцзянь","так","Екстраверт","#Wu4","так","Квітковий; Солодкий","Будь-який","Гайвань","1г / 40мл","85–90°C","6","Нормальний","Класика. Легкий квітковий свіжий чай. Популярний, зрозумілий, універсальний — можна як зранку так і ввечері. Підходить для новачків.","Те Гуань Інь - провінція Ансі, Фуцзянь- альмаматер улунів- легенда про материнський кущ в Сіпіні (під охороною , джерело ТГ). Справжня тегуань інь з культивару що має бруньку “Червоне Серце”. Зарза на ринку зазвичай гібриди всі з кущів зеленого кольору. Чому вона «Залізна»? Назва Tiě (铁) стосується не лише легенди, а й фізики: Вага: Якісний лист настільки щільно скручений, що при падінні в гайвань він має видавати металевий дзенькіт. Важкість: Якщо взяти жменю ТГ і жменю іншого улуну, ТГ буде відчутно важчою. Колір: Традиційний прогрітий лист має відблиск холодного заліза. Легенда про відбитки пальців."
"Сіньян Мао Цзянь 2025","Зелений","Хенань","ні","Екстраверт","#G6","так","Вершковий; Солодкий","Ранок–День","Гайвань","1г / 40мл","80–85°C","6","Швидкий","Базовий зелений — зазвичай спеціально не рекомендуємо, але якщо питають щось з ворсистих — пригадуємо.","Xinyang Qunti Zhong Mao Jian - Сіньян Цюньті Джун Мао Цзянь. Цюньті Джун значить - місцева сировина. Культивар Xinyang 210 - саме він містить велику кількість ворсу при обробці. Сіньян знаходиться на півночі провінції Хенань. наповнений ворсом непрозорий чайний настій. Якщо будемо додавати до чайного меню - ще разок перед тип продегустувати."
"Хуо Шань Хуан Я 2025 продаєм Y","Жовтий","Аньхой","ні","Екстраверт","#Y3","так","Гарбузове пюре; Вершковий; Норі; Тютюн; Лимонна кислинка; Дюшес","Будь-який","Гайвань","1г / 40мл","85–90°C","6","Швидкий","Тонкий та вишуканий. Рекомендувати для тих , хто помічає і цікавиться деталями. Тендітний чай, рекомендуємо спробувати якщо ніколи не куштували жовті чаї і полюбляють світлі чаї. Або коли треба тонко спровадити - дуже підіймає метаболічний процес","Хуо Шань Хуан Я (Huo Shan Huang Ya) материнський кущ Huo Shan Qun Zhong або «Жовті бруньки з гори Хуо» - томління жовтого чаю відбувається за рахунок власного тепла та зменшення кількості хлорофілу після перших етапів обробки чайного листа. Більш ніжний, потребує швидких зливів щоб на передній план не виходила “внутрішня зелень” хлорофілів. Жовті підсилюють метаболізм - після чаювання активується бажання перекусити. Чай витончений і потребує уваги до деталей заварювання щоб насолодитися ним в повній мірі. Перші проливи можна починати з переливу води з термоса в чахай щоб дати декілька градусів менше при першому доторку (розкриття ароматики)."
"Мульти-таскер","Шу пуер","Юньнань","так","Інтроверт","b7","так","Камфора; Сухофрукти; Шоколад","Ранок–День","Чайник","постер","95-100","7","Нормальний","","Назва говорить сама за себе: мульти-таскер означає багатозадачність. Це символічна назва до цього пуеру виникла дуже влучно і характеризує його стан. Розсипний гунтін , швидка екстракція. Може відштовхувати своїм ароматом в сухій сировині, але треба про це комунікувати і пояснювати що це лише з вигляду він “уродєц”. Чай дуже мякесенький, смачний і заходить піалочка за піалочкою. АКЦЕНТ НА НЬОМУ!"
"Шен Пуер Мао Ча 2025 (Юний орел)","Шен пуер","Юньнань","ні","Екстраверт","#Shen1","так","Димний; Тютюн; Солодкий; Ментол","Ранок–День","Гайвань","1г / 40мл","85–90°C","7","Швидкий","Схожий на зелений чай за виглядом, але потужніший характером. На вечір краще не пропонувати — занадто активний. Може здатись різким для новачків через терпкість при перетримці. Рекомендувати тим, хто хоче щось нове і не боїться насиченого смаку.","2025 Рік. Молодий Шен Пуер Юннань, Розсипний (мао ча) сирий(зелений) пуер, зафіксований після стандартного методу приготування листя. Швидкі проливи бо дуже тонкі міжклітинні мембрани , тому процес екстракції відбувається швидше, адже для їх руйнування та виділення “чайного соку” потрібно менше часу та менша температура. Екстраверт Чай схожий на зелений чай. На вечір може бути заактивний, хібащо поєднювати його з активною діяльністю. Може показатись різким для новачкив, адже має багато танінності(терпкості) при перетримці."
"шай хун юннань","Червоний","Юньнань","так","Екстраверт","","так","Персик; Абрикос; Кориця; Гвоздика","Будь-який","Гайвань","1\30","90","7","Нормальний","","Shai Hong Cha (晒红) в перекладі з китайської означає висушений на Сонці чай. При виготовленні чаю не використовують обсмаження в печі або на вугіллі, що трошки відрізняє цей сорт від інших червоних чаїв. Зібраний весною 2023 року, вирощений в провінції Юннань і літом 2023 був виготовлений. Саме літом найбільш сприятливі умови для приготування чаю. Шай Хун. Чай розкладають в спеціальних кімнатах з прозорими вікнами, які закриті прозорими легкими тканинами, що пропускають сонячні промені, і дають можливість Сонцю поступово забрати вологу з листя чаю, періодично перегортаючи сировину. Заряджений цією енергією, цей чай пробудить зранку і налаштує на продуктивний день, так як має схожі технології приготування з чаєм категорії пуер."
"Да У Є Дан Цун","Улун","Гуандун","так","Інтроверт","без артикулу","так","мед; Вершковий; Кокос; Лічі; інжир","Будь-який","Гайвань","1г / 40мл","85–90°C","6","Швидкий","","Дан Цун “Великий Темний Лист”, ґуандуньский улун з родини Фен Хуан Дань Цунів (Одинокі Кущі з Феніксових гір). Чай має таку назву через дійсно велике листя темно-зеленого кольору в порівняні з іншими Дань Цунами. Сировина для цього чаю зібрана з дерев віком 50 років та висотою 2-3 метра. Висота зростання 800 метрів над рівнем моря. Скрутка листя повздовжна й щільна, має темно-коричневий маслянистий колір. Сорт відрізняється великим листям темно-зеленого кольору, звідси і назва. Зі збору цього ж куща виготовляють знамениті Я Ши Сян Дан Цун та Шуй Сян. Чай виготовлений за технологією Цин Сян, що слабким ступенем пропіканням на вогні, при якому залишається «трав'янистість» і зберігається більше корисних речовин."
"Витриманий Шен Пуер Лінцан 2015 (Мін Цян Лао Шен Ча ) фабр","Шен пуер","Юньнань","ні","Екстраверт","#Shen2","так","Димний; Тютюн; Ягідний","Будь-який","Гайвань","1г / 35мл","90–100°C","8","Нормальний","Для тих, хто хоче смакувати кожен злив і ділитися враженнями. Потужний стан, п'янкий, багатий на смакоароматику. Димний і табачний шен з кисло-солодкими нотами — довго п'ється.","2015 Лінцан, Юннань, Витриманий шен, сухе дозрівання. Культивар Sinensis var Camelia (зубчики по краяъ листа+розмір). Мао ча на сухому дозріванні, збір до фестивалю ЦінМін (зібраний до 5 квітня - перший збір ). Димний/табачний шен з кисло-солодкими нотами, довго п’ється. Екстраверт Чай якщо хочеться смакувати посмак, бути уважним до кожного проливу, ділитися враженнями щодо цього. Потужний стан, п’янкий, багатий на смакоароматику."
"є шен фен цін хун ча","Червоний","Юньнань","так","Екстраверт","без артикулу","так","Липовина; Солона карамель; Здоба; Печені яблука","Будь-який","Гайвань","згідно постера","85-95","7","Швидкий","","повна назва чаю, означає що це червоний дикий з Фен Ціну. ""Дикисть"" можна транспорентно ідентифікувати з першого погляду - довжина листочка може сягати 5-6 сантиметрів. Для цього красеня найкраще використовувати як простору гайвань, адже він потребує місця для якісного розкриття, так і теплоємний чайник з ісіну, який ""достане"" весь потенціал сировини. Що ще особливого про цей чай : поєднання чистоти стану та прозорості в смакоароматичному профілі. Ye Sheng Feng Qing Hong Cha 25' - справжній дикий. Медовий яскравий аромат липи зустрічає та переходить в екзотичну пряну палітру з акцентами соленої карамелі, здоби, печених карамелізованих яблук. Тільний настій, багатий, відчувається насиченою присутністю. Сировина з малих тонких листочків з пагінцем, повздовжною скруткою схожи на малі чорні стріли. Тримає чіткий та прямий смак протягом всього чаювання, збалансований. Ароматика дуже ефірна: обовязково звертайте увагу на аромат в порожньому теплому посуді опісля випитої піали. Витримує мінімум 7 проливів та уходить в чайне плато."
"Шен Пуер Прес 2024 (рука шенщіни)","Шен пуер","Юньнань","ні","Екстраверт","","так","Курага; Дюшес; Яблуко; Горіховий","Ранок–День","Гайвань","1г / 40мл","85–90°C","6","Швидкий","Схожий на зелений чай. Спресований у млинцях — екстракція плавніша і м'якша порівняно з розсипним. На вечір краще уникати. Підходить як перший крок до знайомства з пуерами.","Юннанська сировина . Не щільна пресовка в кейки. Чай схожий на зелений чай. На вечір може бути заактивний, хібащо поєднювати його з активною діяльністю. Може показатись різким для новачків, адже має багато танінності(терпкості) при перетримці. Так як спресований в млинцях то має не таку різку екстракцію, більш плавний та м’який. Легкий весняний профіль співзвучить з настроєм приходу нового тепла. Ароматика наповнена соковитими переливами стиглих та сушених фруктів: курага, яблуко, дюшес. Крізь все чаювання проходить посмак волоського горіху, який додає трошки стриманості барвистій палітрі смаку. Тривалий чай, але при тому дуже легко п'ється. Прозорий настій кольору білого виноградного соку. Допоможе перключити стан та звернути увагу на простір навколо, помітити його. Стан про концентрований спокій та увагу."
"Хей Ча Wild Persimmon","Хейча","Хунань","ні","Екстраверт","B1","так","Хурма; Сухофрукти; Мигдаль; Вінтажний підвальчик","Будь-який","Гайвань","1/35","90-95","7","Повільний","",""
"Мі Лань Сян Дан Цун","Улун","Гуандун","так","Екстраверт","без артикулу","так","Медовий; Батат; Квітковий; Уішанська мелодія","Будь-який","Гайвань","1г / 40мл","85–90°C","6","Швидкий","Майже одразу сировина розкриває сильну арома палітру весняним медовим ароматом, з нотами орхідеї та квіту чубушника.Чай - насолода, яка з кожною піалою тільки розкриває свій потенціал. Смак насичений, солодкий і багатогранний - батат, медовість космічна, квіти і все це з характерною даньцунівською тягучістю та тривалим післясмаком. ДумаюДаруе приємний стан прояснення і спокою. Заповільнює думки, очищує. Задоволення.","""Аромат Медової Орхідеї"", ґуандуньский улун з родини Фен Хуан Дань Цунів (Одинокі Кущі з гір Феніксу). Витончений представник церемоніального китайського чаю, має тонкий і ніжний аромат, за рахунок легкої ступіні прожарювання. Впевнено передає гуандунский теруар з доволі Сировина для цього чаю зібрана з дерев віком 80 років та висотою 3-4 метра. Висота зростання 1100 метрів над рівнем моря. Сухе листя скручене повздовжньо й має сіро-коричневий маслянистий колір."
"Ченнянь Гунтін фабр","Шу пуер","Юньнань","так","Екстраверт","#B9","так","Камфора; Деревний; Хурма","Ранок–День","Чайник","постер","95-100","7","Нормальний","","Сильний та прямий гунтін. Завдяки бленду з золотими бруньками не такий ""швидкий"" як зазвичай зустріються палацові пуери. Сильноекстрактивний, камфорний, має м'який та солодкий посмак. Пік заварювання приходить плавно, без різких стрибків екстракції між проливами, що звісно залежить від того наскільки є бажання досягати плавності. В середені чаювання з'являється терпчинка схожа на відчуття після смакування хурмою. Шоколадно-дерев'яний профіль з алкогольною ноткою. По стану не підривний, помірно активний, концентруючий. Гарно включає в день та його процеси."
"Бін Фа Си Цзи Чунь ice fermented","Улун","Тайланд","так","Інтроверт","GB#2","так","Ягідний; Фруктовий; Солодкий; Цитрусовий","Будь-який","Гайвань","1г/40мл","90-100","8","Нормальний","","Холодна ферментація: Екзотика червоних чаїв, персики/маракуя. Настій прозорий з ворсом. Медова, мяка та округла, насичений соковий довготривалий посмак, питка. 1-2 піала - відчутний потужний стан. Чай багатий на ароматику - глибокий парфюмний екзотичний букет. Цільний лист прямої повздовджньої скрутки. Сильно окислений."
"Цзи Я бао 2025","Білий","Юньнань","так","Екстраверт","","так","Молотий перець; Журавлина; Лимонна кислинка; Кизил","Будь-який","Гайвань; Чайник","1/40","90-95","9","Повільний","","Надзвичайно ароматний чай. Відкривається тонким свіжим духмяним солодким перцем. Поступово відчувається лимонний тортик з смородиновим джемом. Прозорий блідо-зелений, а ближче до середини чаювання охристий ворсистий чайний настій. Явними стають дискриптори журавлини, смородини та кизилу з нотами солодкої вологої деревини. Можна почути травянисту солодкість ехінацеї. Проливається цей чай безкінечно довго, пікові проливи припадають на шосте на сьоме заварювання. Стан з кожним новим ковтком тільки посилюється, Я Бао проведе настільки глибоко на скільки ви того захочете. Дарує відчуття занурення ніби знаходишся в квітучому полі, яке все гудить від звуків збирачів меду. Робіть зупинки і не поспішайте, чай дуже питкий та тривалий, хоча тіло чаю дуже легке і збалансоване."
"Майстер Го","Шу пуер","Юньнань","так","Екстраверт","без артикулу","так","Горіховий; Шипшина; Шоколад","Будь-який","Чайник","постер","95-100","8","Нормальний","","Потужна горіхова ароматика навіть через бамбукові туни та паперову обгортку. Тільний, плотний, кисло-солодкий горіховий профіль. Плотна екстракція, чиста і м'яка композиція. Цей чай для поціновувачів мистецтва в області шу пуеру. А якщо ви знами досліджуєте цю четверту ітерацію горіхового шу - для вас є приємна цікавинка, якою відрізняється саме цей лот. Третій пролив - пік екстракції, але після неї чай не здувається як пробита кулька а тримає потенціал ще добрії 3-4 нафтових проливи і плавно уходить в закат як Клінт Іствуд в тому кіно про пустелю. Стан - чиста енергія життя."
"GABA ДФМЖ Пумен","GABA","Тайланд","так","Інтроверт","GB#7","так","Злаки; Вершковий; Ягідний","Вечір","Гайвань","1/40","90-95","7","Нормальний","","Пшениця, овес, ячмінь в поєднанні з фруктовою вершковістю (злаковий йогурт). М’яка та збалансована. 3-4 проливи виходить в плато вершковості та ягідності та до 7-8 пролива на ньому перебуває. Настій чистий, прозорий. Заварювати можна як в гайвані так і в широкому чайнику : головне забезпечити площу для розкриття скрученого листа."
